	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110
Country	China	India	Indonesia	United States	South Korea	Vietnam	Turkey	Germany	Malaysia	Japan	Philippines	Russia	Poland	Pakistan	South Africa	Taiwan	Chile	Netherlands	Morocco	Thailand	Brazil	Italy	Laos	Australia	Sri Lanka	Czech Republic	Bulgaria	North Korea	Guatemala	Kazakhstan	Mexico	Canada	Botswana	Slovenia	Colombia	Bangladesh	France	Cambodia	Panama	Tajikistan	Zambia	Bosnia & Herzegovina	Kyrgyzstan	Brunei	Mongolia	Uzbekistan	Madagascar	Mauritius	Honduras	Syria	Myanmar	Senegal	Zimbabwe	Jordan	Argentina	Reunion	Guadeloupe	Egypt	Malawi	Serbia	Mozambique	Nigeria	Tanzania	United Arab Emirates	Iran	Ukraine	Kenya	Venezuela	Jamaica	United Kingdom	Hungary	Kosovo	Greece	North Macedonia	Dominican Republic	Montenegro	Swaziland	Georgia	Ghana	Spain	Romania	Israel	Denmark	Finland	Portugal	Moldova	Slovakia	Ireland	Austria	New Zealand	Croatia	Sweden	Peru	Namibia	Albania	Belarus	Belgium	Democratic Republic of Congo	El Salvador	Guinea	Latvia	Oman	Sudan	Hong Kong	Ivory Coast	Niger	Papua New Guinea	Ethiopia	World Total	Outside India and China	India and China
2006	"77,769"	"2,357"	"1,980"	574	500	116	"1,080"	0	748	50	284	180	0	0	0	550	0	0	0	717	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	250	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"87,384"	"7,258"	"80,126"
2007	"80,616"	"5,330"	180	"1,514"	"2,086"	300	78	0	"1,496"	650	0	0	33	0	0	0	0	0	0	717	88	0	0	750	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"94,048"	"8,102"	"85,946"
2008	"61,089"	"5,442"	367	"1,584"	"1,500"	0	0	0	0	512	0	0	474	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"71,104"	"4,573"	"66,531"
2009	"60,678"	"5,673"	351	"1,935"	"2,359"	520	405	0	"1,776"	630	0	750	560	0	0	0	152	0	0	0	0	660	0	466	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"77,036"	"10,685"	"66,351"
2010	"63,879"	"12,197"	646	"5,878"	250	300	"1,390"	85	0	"1,010"	267	0	64	0	0	0	419	0	0	85	414	"1,320"	0	0	0	0	0	600	0	63	678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"89,605"	"13,529"	"76,076"
2011	"62,376"	"15,164"	"4,695"	"4,254"	123	"1,280"	600	0	0	0	349	100	858	0	0	50	711	0	0	0	0	0	0	0	300	0	670	0	172	150	0	495	0	0	0	0	38	0	108	0	0	0	0	0	0	0	120	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"92,643"	"15,103"	"77,540"
2012	"52,049"	"17,961"	"4,045"	"3,953"	0	480	0	"2,875"	0	0	0	549	0	0	0	0	905	0	0	660	360	0	0	114	0	0	0	0	60	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"84,281"	"14,271"	"70,010"
2013	"51,276"	"18,388"	"2,024"	"1,813"	60	"1,040"	230	"1,600"	0	"1,850"	600	633	50	0	0	0	270	0	0	0	"1,085"	0	0	0	0	0	0	0	33	60	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"81,312"	"11,648"	"69,664"
2014	"38,697"	"20,643"	"1,080"	106	"1,800"	"3,104"	"1,550"	"1,710"	0	0	82	"1,126"	0	0	0	0	0	0	700	0	0	0	0	0	600	135	0	0	122	0	0	110	300	0	0	0	0	235	0	100	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"72,250"	"12,910"	"59,340"
2015	"65,397"	"21,130"	"2,421"	50	0	"4,476"	"1,140"	"3,472"	"1,000"	0	585	225	55	0	795	0	152	"2,400"	0	0	0	0	"1,252"	0	0	0	0	0	0	173	0	0	0	600	164	0	0	135	0	0	30	0	0	0	125	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"105,847"	"19,320"	"86,527"
2016	"47,355"	"18,965"	"1,569"	0	"5,486"	300	"1,850"	0	"1,000"	112	"1,314"	"1,130"	50	40	0	800	532	"1,100"	0	0	0	0	626	0	0	750	0	0	362	0	0	0	0	0	160	0	0	0	0	300	300	300	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"84,551"	"18,231"	"66,320"
2017	"35,406"	"8,868"	"1,464"	0	"5,262"	"2,296"	"1,320"	0	"1,000"	500	465	0	"1,075"	"2,260"	"1,590"	800	0	0	350	0	0	0	0	0	0	0	53	200	0	0	0	0	0	0	0	0	0	135	0	0	0	0	300	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"63,384"	"19,110"	"44,274"
